ride_type,hour,mean
bike,0,1083.7857142857142
bike,1,976.4
bike,2,1104.36
bike,3,645.8333333333334
bike,4,2024.0
bike,5,781.3529411764706
bike,6,606.7837837837837
bike,7,834.688524590164
bike,8,966.8725490196078
bike,9,945.9909090909091
bike,10,2163.8988764044943
bike,11,1440.6697247706422
bike,12,1223.9237288135594
bike,13,1443.419642857143
bike,14,1179.3162393162393
bike,15,1325.425806451613
bike,16,2452.0467836257308
bike,17,964.390243902439
bike,18,1231.8375
bike,19,1438.3923444976076
bike,20,1238.4031007751937
bike,21,1390.2692307692307
bike,22,1127.6060606060605
bike,23,923.8157894736842
taxi,0,985.5
taxi,1,695.5
taxi,2,1527.0
taxi,3,971.0
taxi,4,946.5
taxi,5,
taxi,6,770.7142857142857
taxi,7,1040.1538461538462
taxi,8,930.6842105263158
taxi,9,754.8
taxi,10,1149.4
taxi,11,1098.2307692307693
taxi,12,1291.1
taxi,13,1512.8666666666666
taxi,14,1384.1764705882354
taxi,15,1438.0
taxi,16,1373.875
taxi,17,1461.0
taxi,18,752.1739130434783
taxi,19,717.0833333333334
taxi,20,808.8888888888889
taxi,21,693.0
taxi,22,815.0
taxi,23,765.3
