ride_type,duration,start_zoneID,started_at
bike,709.0,167,2021-07-27 13:53:34
bike,2905.0,167,2021-07-18 19:16:40
bike,964.0,167,2021-07-17 19:28:26
bike,2082.0,167,2021-07-29 09:12:32
bike,387.0,167,2021-07-13 08:35:30
bike,8410.0,167,2021-07-15 22:00:22
bike,379.0,167,2021-07-07 17:45:48
bike,1209.0,167,2021-07-22 19:37:13
bike,215.0,167,2021-07-15 18:52:44
bike,252.0,167,2021-07-30 21:44:18
bike,181.0,167,2021-07-07 18:01:37
bike,231.0,167,2021-07-12 14:08:00
bike,287.0,167,2021-07-07 17:17:36
bike,2681.0,167,2021-07-12 09:33:14
bike,625.0,167,2021-07-31 20:35:24
bike,224.0,167,2021-07-10 08:14:18
bike,486.0,167,2021-07-10 12:11:24
bike,1602.0,167,2021-07-24 06:12:05
bike,89995.0,167,2021-07-31 23:04:04
bike,306.0,167,2021-07-25 13:49:30
bike,89994.0,167,2021-07-02 12:07:11
bike,89994.0,167,2021-07-24 14:57:09
bike,1305.0,167,2021-07-08 21:55:12
bike,116.0,167,2021-07-05 10:05:58
bike,220.0,167,2021-07-28 17:09:53
bike,187.0,167,2021-07-26 09:52:06
bike,51.0,167,2021-07-18 19:36:45
bike,1796.0,167,2021-07-03 23:19:12
bike,45.0,167,2021-07-18 19:36:50
bike,3468.0,167,2021-07-12 17:36:48
bike,187.0,167,2021-07-03 11:17:39
bike,2097.0,167,2021-07-26 22:00:29
bike,236.0,167,2021-07-10 13:17:31
bike,9242.0,167,2021-07-04 13:56:07
bike,328.0,167,2021-07-06 12:46:28
bike,2142.0,167,2021-07-30 20:06:25
bike,729.0,167,2021-07-30 02:25:52
bike,4121.0,167,2021-07-08 23:56:57
bike,2880.0,167,2021-07-23 12:12:32
bike,221.0,167,2021-07-10 13:34:46
bike,347.0,167,2021-07-09 13:16:45
bike,1171.0,167,2021-07-13 13:43:18
bike,333.0,167,2021-07-20 07:59:12
bike,53.0,167,2021-07-27 15:35:43
bike,415.0,167,2021-07-27 22:37:04
bike,558.0,167,2021-07-11 05:36:54
bike,954.0,167,2021-07-22 04:56:07
bike,72.0,167,2021-07-22 15:46:48
bike,52.0,167,2021-07-22 15:43:55
bike,1117.0,167,2021-07-23 00:27:09
bike,143.0,167,2021-07-14 00:10:58
bike,131.0,167,2021-07-18 13:52:27
bike,1214.0,167,2021-07-26 18:02:05
bike,1180.0,167,2021-07-10 08:03:08
bike,102.0,167,2021-07-05 14:55:23
bike,1609.0,167,2021-07-18 13:20:43
bike,262.0,167,2021-07-08 18:48:15
bike,285.0,167,2021-07-28 07:34:45
bike,2981.0,167,2021-07-23 10:30:48
bike,71.0,167,2021-07-23 08:06:06
bike,3470.0,167,2021-07-27 06:04:07
bike,360.0,167,2021-07-10 20:58:23
bike,5588.0,167,2021-07-30 14:07:03
bike,88.0,167,2021-07-12 14:17:27
bike,3554.0,167,2021-07-15 18:59:51
